school_id,clinic_name,se_strength,ii_strength,sd_strength,description,url,year_founded
nyu,International Transactions Clinic,3,3,3,"Provides transactional legal services to social enterprises, impact investors, and sustainable development organizations worldwide.",https://www.law.nyu.edu/academics/clinics/international-transactions,
columbia,Entrepreneurship and Community Development Clinic,3,2,1,"Serves micro-entrepreneurs, technology entrepreneurs, social entrepreneurs, artists, and filmmakers.",https://www.law.columbia.edu/academics/experiential/clinics/entrepreneurship-clinic,2018
georgetown,Social Enterprise and Nonprofit Clinic,3,1,1,"Pro bono services to social enterprises, nonprofits, and cooperative associations in DC area.",https://www.law.georgetown.edu/experiential-learning/clinics/social-enterprise-nonprofit-law-clinic/,2012
yale,Ludwig Center for Community Development and Civil Rights,2,2,2,"Provides legal services to community organizations and social enterprises in New Haven area.",,
northwestern,Donald Pritzker Entrepreneurship Law Center Clinic,3,2,2,"Hands-on representation for social entrepreneurs as part of the DPELC.",https://www.law.northwestern.edu/research-faculty/clbe/dpelc/clinic/,
michigan,International Transactions Clinic,2,3,2,"Serves clients internationally including social enterprises in Kenya and Costa Rica.",https://michigan.law.umich.edu/academics/experiential-learning/clinics/international-transactions-clinic,
bc,Entrepreneurship & Innovation Clinic,2,2,1,"Clients include technology entrepreneurs, social entrepreneurs, brick and mortar businesses, and nonprofit organizations.",https://www.bc.edu/bc-web/schools/law/academics-faculty/experiential-learning/clinics/entrepreneurship-innovation-clinic.html,
brooklyn,Community Development & Movement Infrastructure Clinic,2,1,0,"Serves conventional CED groups, community-based nonprofits, affordable housing developers, worker-owned cooperatives, and social enterprises.",https://www.brooklaw.edu/academics/clinicalprogram/clinics/community-development-clinic,
northeastern,Community Business Clinic,2,1,1,"Supports inclusive entrepreneurship and community development.",https://law.northeastern.edu/academics/clinics-experiential/community-business-clinic/,2022
wvu,Entrepreneurship and Innovation Law Clinic,1,0,2,"Provides transactional support to entrepreneurs and small businesses in West Virginia.",,
duke,Community Enterprise Clinic,2,1,1,"Provides hands-on transactional legal training to nonprofit organizations and social entrepreneurs in Durham.",https://law.duke.edu/academics/clinics/community-enterprise/,
florida_state,Business Law Clinic,2,1,1,"Helps advise business and social entrepreneurs within the FSU community.",https://law.fsu.edu/academics/clinical-programs/business-law-clinic,
